js,precip_known,final,ID,X,Y,ELEVATION,NAME,FNAME,STATION_TYP
Šatov,Šatov,Šatov,B2SATO01,16.020556,48.789167,238.0,Šatov,Šatov,ASS
Šerák,Šerák,Šerák,O1SERATT,17.1075,50.1883,1320.0,Šerák,Šerák,TOTAL
Šindelová. Obora,"Šindelová, Obora","Šindelová, Obora",L3SIND01,12.597466,50.317449,589.0,Šindelová,Šindelová. Obora,AKS1
Šluknov,Šluknov,Šluknov,U2SLUK01,14.45525,51.002722,352.0,Šluknov,Šluknov,ASS
Špičák,Špičák,Špičák,L1SPIC01,13.215816,49.169506,973.0,Špičák,Špičák,AKS3
Šternberk,Šternberk,Šternberk,O2STEK01,17.275988,49.717754,247.0,Šternberk,Šternberk,AKS4
Štítná nad Vláří - Popov,Štítná nad Vláří - Popov,Štítná nad Vláří - Popov,B1STIT01,17.9711,49.0728,315.0,Štítná nad Vláří - Popov,Štítná nad Vláří - Popov,AKS1
Štíty,Štíty,Štíty,O2STIT01,16.764343,49.956566,432.0,Štíty,Štíty,AKS4
Štoky,Štoky,Štoky,P3STOK01,15.590799,49.501462,530.0,Štoky,Štoky,ASS
Šumperk,Šumperk,Šumperk,O2SUMP01,16.9675,49.9742,328.0,Šumperk,Šumperk,AKS2
Tábor. Měšice,"Tábor, Měšice","Tábor, Měšice",C2TABO01,14.702389,49.41,467.0,Tábor,Tábor. Měšice,AKS1
Tachov,Tachov,Tachov,L2TACH01,12.623135,49.798357,487.0,Tachov,Tachov,AKS3
Temelín,Temelín,Temelín,C1TEME01,14.342222,49.197778,500.0,Temelín,Temelín,AMS1
Teplice,Teplice,Teplice,U1TEPL01,13.836344,50.645153,227.0,Teplice,Teplice,AKS1
Teplice nad Metují Zdoňov,Teplice nad Metují Zdoňov,Teplice nad Metují Zdoňov,H1TEPZ01,16.147285,50.641099,531.0,Teplice nad Metují,Teplice nad Metují Zdoňov,AKS2
Terešov,Terešov,Terešov,L2TERE01,13.707071,49.901862,402.0,Terešov,Terešov,ASS
